epoch,accuracy,loss,val_accuracy,val_loss
0,0.7650056,0.4885014727702417,0.7890004515647888,0.41992124794893476
1,0.82893616,0.3655057722959609,0.842155396938324,0.34052148638553226
2,0.8537268,0.32146034881426194,0.8489821553230286,0.32977128606944306
3,0.8682586,0.29455341252366884,0.8589873313903809,0.31657449044201513
4,0.87929034,0.27406636648230526,0.8606940507888794,0.31236251872444304
5,0.8883155,0.2562903889500936,0.862623393535614,0.3179311989217907
6,0.8963142,0.24118418478986842,0.8651215434074402,0.3196041738654661
7,0.9037996,0.22599346382718594,0.8646144866943359,0.31704834122455383
8,0.9090001,0.2144979501337702,0.8664324879646301,0.3203872952465312
9,0.914683,0.20312116212097464,0.8671250939369202,0.32241761537577024
10,0.9359148,0.15874832431984454,0.8726780414581299,0.3384678387108798
11,0.9426056,0.1440684232071341,0.8731974363327026,0.34637119983219694
12,0.9457099,0.13572694220497747,0.8744713068008423,0.3574787749688387
13,0.94913876,0.1283931139452418,0.8743847012519836,0.3616764124386764
14,0.9512103,0.12407792795659206,0.8750649094581604,0.37250667393801695
15,0.9524223,0.12010446242702391,0.8753864765167236,0.3765037440213393
16,0.9539744,0.11704595853668075,0.8757575154304504,0.38288079704581157
17,0.95588523,0.11287675311232413,0.875769853591919,0.3879257936530323
18,0.9566087,0.1098008133870391,0.8762645721435547,0.3919483943279098
19,0.95785475,0.10714144778160462,0.8757203817367554,0.3993281068273843
